//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.85475001,-8.14099999,-1.45775002,147,149,138,1.000000,1.000000,230.173746,48430.000000,1.000000
-6.85499999,-8.14125000,-1.44924998,131,128,120,1.000000,1.000000,230.173746,48168.000000,1.000000
-6.85499999,-8.13774999,-1.44924998,157,146,127,1.000000,1.000000,230.153192,48059.000000,1.000000
-6.85375002,-8.14024999,-1.45424997,169,169,163,1.000000,1.000000,230.173746,48168.000000,1.000000
-6.85375002,-8.14024999,-1.45149999,160,154,155,1.000000,1.000000,230.173746,48823.000000,1.000000
-6.85625002,-8.14200001,-1.44674998,116,118,110,1.000000,1.000000,230.173731,48168.000000,1.000000
-6.85700002,-8.13925000,-1.44749998,143,137,114,1.000000,1.000000,230.153192,47840.000000,1.000000
-6.85550001,-8.13800000,-1.44375002,129,124,102,1.000000,1.000000,230.153177,49042.000000,1.000000
-6.85749999,-8.13350000,-1.43749999,173,161,100,1.000000,1.000000,230.112070,48146.000000,1.000000
-6.85875002,-8.12824999,-1.43924999,192,168,100,1.000000,1.000000,230.070978,45634.000000,1.000000
-6.85575000,-8.12925001,-1.43924999,202,180,103,1.000000,1.000000,230.091532,46420.000000,1.000000
-6.85800001,-8.13050001,-1.43749999,172,165,73,1.000000,1.000000,230.091532,46202.000000,1.000000
-6.85625002,-8.13274999,-1.43400001,159,144,82,1.000000,1.000000,230.112070,48670.000000,1.000000
-6.85875002,-8.12850001,-1.43650001,159,147,55,1.000000,1.000000,230.070978,47512.000000,1.000000
-6.85900000,-8.12874999,-1.43375003,136,132,21,1.000000,1.000000,230.070978,48910.000000,1.000000
-6.85700002,-8.12975000,-1.43400001,144,135,34,1.000000,1.000000,230.091516,49151.000000,1.000000
-6.86349997,-8.12499999,-1.43774997,170,162,43,1.000000,1.000000,230.029871,48124.000000,1.000000
-6.86349997,-8.12275000,-1.43700003,119,109,13,1.000000,1.000000,230.009333,48801.000000,1.000000
-6.86424998,-8.12575000,-1.43550002,155,158,32,1.000000,1.000000,230.029871,49020.000000,1.000000
-6.86249998,-8.12200000,-1.43375003,117,116,6,1.000000,1.000000,230.009317,49806.000000,1.000000
-6.86174998,-8.12725001,-1.43999999,181,161,54,1.000000,1.000000,230.050425,45765.000000,1.000000
-6.85900000,-8.12525000,-1.43550002,193,184,71,1.000000,1.000000,230.050425,48670.000000,1.000000
-6.86074999,-8.12624999,-1.43349998,179,182,64,1.000000,1.000000,230.050425,49566.000000,1.000000
-6.85900000,-8.12874999,-1.43075001,152,153,24,1.000000,1.000000,230.070963,48321.000000,1.000000
-6.85524997,-8.13199999,-1.43050002,126,125,51,1.000000,1.000000,230.112070,48255.000000,1.000000
-6.85625002,-8.12925001,-1.43075001,137,139,20,1.000000,1.000000,230.091516,49173.000000,1.000000
-6.85575000,-8.13225000,-1.42775004,126,129,71,1.000000,1.000000,230.112070,49020.000000,1.000000
-6.85749999,-8.13324999,-1.42574995,103,109,65,1.000000,1.000000,230.112055,47359.000000,1.000000
-6.85950002,-8.12900000,-1.42825001,172,177,49,1.000000,1.000000,230.070963,48561.000000,1.000000
-6.85725001,-8.12999999,-1.42825001,127,136,22,1.000000,1.000000,230.091516,48474.000000,1.000000
-6.85749999,-8.13025000,-1.42549997,123,132,45,1.000000,1.000000,230.091516,49609.000000,1.000000
-6.86275002,-8.12475001,-1.43174999,151,162,30,1.000000,1.000000,230.029871,49326.000000,1.000000
